IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.222.184.198,8080,false,SIN,Asia Pacific,Singapore,209 ms,8210 kB/s
8.219.245.187,2095,false,SIN,Asia Pacific,Singapore,225 ms,8210 kB/s
47.236.169.164,80,false,SIN,Asia Pacific,Singapore,228 ms,8205 kB/s
8.222.215.228,8880,false,SIN,Asia Pacific,Singapore,224 ms,8204 kB/s
47.237.8.82,80,false,SIN,Asia Pacific,Singapore,235 ms,8186 kB/s
47.236.10.182,80,false,SIN,Asia Pacific,Singapore,213 ms,8175 kB/s
47.236.121.7,8880,false,SIN,Asia Pacific,Singapore,213 ms,8158 kB/s
8.219.113.232,8080,false,SIN,Asia Pacific,Singapore,232 ms,8151 kB/s
47.236.169.164,8080,false,SIN,Asia Pacific,Singapore,228 ms,8133 kB/s
8.222.221.109,2086,false,SIN,Asia Pacific,Singapore,214 ms,8106 kB/s
8.219.140.229,8880,false,SIN,Asia Pacific,Singapore,223 ms,8099 kB/s
47.242.59.216,80,false,HKG,Asia Pacific,Hong Kong,61 ms,8097 kB/s
8.219.101.138,2052,false,SIN,Asia Pacific,Singapore,236 ms,8088 kB/s
47.236.165.25,2095,false,SIN,Asia Pacific,Singapore,220 ms,8051 kB/s
8.222.128.131,8080,false,SIN,Asia Pacific,Singapore,236 ms,8043 kB/s
8.222.214.231,8880,false,SIN,Asia Pacific,Singapore,246 ms,8020 kB/s
8.219.241.189,2082,false,SIN,Asia Pacific,Singapore,240 ms,8014 kB/s
47.236.165.25,2086,false,SIN,Asia Pacific,Singapore,215 ms,7955 kB/s
8.219.106.156,2052,false,SIN,Asia Pacific,Singapore,223 ms,7947 kB/s
47.236.174.206,8080,false,SIN,Asia Pacific,Singapore,222 ms,7943 kB/s
47.236.144.156,2082,false,SIN,Asia Pacific,Singapore,219 ms,7930 kB/s
8.219.142.191,2082,false,SIN,Asia Pacific,Singapore,222 ms,7927 kB/s
8.210.55.134,2052,false,HKG,Asia Pacific,Hong Kong,65 ms,7926 kB/s
8.219.1.92,80,false,SIN,Asia Pacific,Singapore,216 ms,7922 kB/s
8.219.51.211,8080,false,SIN,Asia Pacific,Singapore,230 ms,7912 kB/s
47.236.7.106,8880,false,SIN,Asia Pacific,Singapore,218 ms,7898 kB/s
8.222.144.50,8880,false,SIN,Asia Pacific,Singapore,218 ms,7862 kB/s
8.222.144.50,8080,false,SIN,Asia Pacific,Singapore,227 ms,7853 kB/s
8.219.126.3,8080,false,SIN,Asia Pacific,Singapore,215 ms,7847 kB/s
47.236.144.196,2095,false,SIN,Asia Pacific,Singapore,226 ms,7845 kB/s
47.236.10.182,8080,false,SIN,Asia Pacific,Singapore,253 ms,7829 kB/s
8.219.206.180,8080,false,SIN,Asia Pacific,Singapore,238 ms,7824 kB/s
8.219.101.138,2095,false,SIN,Asia Pacific,Singapore,213 ms,7815 kB/s
47.236.75.113,2052,false,SIN,Asia Pacific,Singapore,220 ms,7812 kB/s
47.236.116.26,2095,false,SIN,Asia Pacific,Singapore,241 ms,7809 kB/s
47.236.174.206,80,false,SIN,Asia Pacific,Singapore,222 ms,7808 kB/s
8.219.199.220,2052,false,SIN,Asia Pacific,Singapore,234 ms,7799 kB/s
8.222.128.131,2052,false,SIN,Asia Pacific,Singapore,209 ms,7796 kB/s
47.236.75.113,8080,false,SIN,Asia Pacific,Singapore,231 ms,7789 kB/s
8.219.122.55,2095,false,SIN,Asia Pacific,Singapore,235 ms,7785 kB/s
8.219.191.40,2082,false,SIN,Asia Pacific,Singapore,217 ms,7785 kB/s
8.219.122.55,80,false,SIN,Asia Pacific,Singapore,241 ms,7741 kB/s
8.219.103.65,2086,false,SIN,Asia Pacific,Singapore,222 ms,7740 kB/s
8.219.103.65,8080,false,SIN,Asia Pacific,Singapore,242 ms,7738 kB/s
